Amanda,53,73,3199,most intelligent,desperate,S
Guliston,16,98,2782,most attractive,normal,S
Nina,23,53,584,most attractive,normal,S
Veronica,89,43,2596,most attractive,desperate,S
Sansa,78,70,1264,most intelligent,desperate,S
Anjali,63,85,1112,most rich,normal,S
Pooja,37,52,3323,most attractive,desperate,S
Ankita,46,27,4518,most attractive,desperate,S
Neha,67,35,1834,most rich,desperate,S
Anny,69,35,3318,most intelligent,choosy,S
Ozge,70,53,4137,most rich,normal,S
Ecenaz,14,92,2399,most intelligent,normal,S
Jesse,29,53,3740,most rich,normal,S
