Amanda,25,64,1750,most intelligent,desperate,S
Guliston,100,53,863,most attractive,choosy,S
Nina,25,52,1811,most attractive,desperate,S
Veronica,90,89,741,most intelligent,desperate,S
Sansa,66,52,1731,most intelligent,normal,S
Anjali,25,56,449,most intelligent,choosy,S
Pooja,31,99,173,most intelligent,desperate,S
Ankita,19,79,4562,most intelligent,choosy,S
Neha,82,97,1507,most intelligent,normal,S
Anny,89,65,1814,most attractive,normal,S
Ozge,15,29,581,most rich,desperate,S
Ecenaz,83,39,512,most rich,desperate,S
Jesse,31,78,2347,most intelligent,desperate,S
